"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Normal",3,"Peak",3,"CBAE-SI","0.01314 (0.001665)","0.1753 (0.001312)","—","—",11022,
"Normal",3,"Peak",3,"CBAE-MI","-0.03637 (0.001847)","0.1956 (0.001423)","—","—",10832,
"Normal",3,"Peak",3,"CMUE-MLE","0.003421 (0.001840)","0.1931 (0.001481)","0.9731 (0.001540)","0.7400 (0.0009158)",11022,11022
"Normal",3,"Peak",3,"CMUE-ZERO","0.05261 (0.001889)","0.2052 (0.001532)","0.9318 (0.002402)","0.7013 (0.0009359)",11022,11022
"Normal",3,"Peak",3,"RB","-0.001344 (0.001881)","0.1975 (0.001683)","0.9491 (0.002094)","0.7692 (0.0008065)",11021,11021
"Normal",3,"Peak",4,"Stage 2","0.002221 (0.001006)","0.2587 (0.0007119)","0.9504 (0.0008446)","1.012 (0.000000000000000000003360)",66092,66092
"Normal",3,"Peak",4,"Naive","0.05339 (0.0006680)","0.1798 (0.0004912)","0.8393 (0.001428)","0.5837 (0.0008025)",66092,66092
"Normal",3,"Peak",4,"CBAE-SI","0.002406 (0.0006945)","0.1786 (0.0005107)","—","—",66092,
"Normal",3,"Peak",4,"CBAE-MI","-0.02061 (0.0007207)","0.1863 (0.0005614)","—","—",66030,
"Normal",3,"Peak",4,"CMUE-MLE","0.0006610 (0.0007029)","0.1807 (0.0005681)","0.9645 (0.0007193)","0.7060 (0.0003366)",66092,66092
"Normal",3,"Peak",4,"CMUE-ZERO","0.03173 (0.0007116)","0.1857 (0.0005611)","0.9498 (0.0008494)","0.6553 (0.0002881)",66092,66092
"Normal",3,"Peak",4,"RB","0.001472 (0.0007269)","0.1869 (0.0005681)","0.9549 (0.0008071)","0.7266 (0.0002671)",66092,66092
"Normal",3,"Line",1,"Stage 2","-0.003991 (0.003688)","0.2600 (0.002557)","0.9467 (0.003188)","1.012 (0)",4969,4969
"Normal",3,"Line",1,"Naive","0.1070 (0.002345)","0.1969 (0.002253)","0.7714 (0.005957)","0.5041 (0.002656)",4969,4969
"Normal",3,"Line",1,"CBAE-SI","0.01910 (0.002453)","0.1740 (0.002033)","—","—",4969,
"Normal",3,"Line",1,"CBAE-MI","-0.03681 (0.002777)","0.1955 (0.002159)","—","—",4781,
"Normal",3,"Line",1,"CMUE-MLE","0.004956 (0.002767)","0.1951 (0.002241)","0.9718 (0.002347)","0.7558 (0.001441)",4969,4969
"Normal",3,"Line",1,"CMUE-ZERO","0.06502 (0.002830)","0.2098 (0.002363)","0.9185 (0.003881)","0.7151 (0.001492)",4969,4969
"Normal",3,"Line",1,"RB","-0.002986 (0.002881)","0.2030 (0.002551)","0.9482 (0.003144)","0.7853 (0.001228)",4966,4965
"Normal",3,"Line",2,"Stage 2","-0.004037 (0.002323)","0.2600 (0.001634)","0.9482 (0.001980)","1.012 (0)",12527,12527
"Normal",3,"Line",2,"Naive","0.09242 (0.001557)","0.1973 (0.001316)","0.7810 (0.003695)","0.5177 (0.001744)",12527,12527
"Normal",3,"Line",2,"CBAE-SI","0.01534 (0.001610)","0.1809 (0.001200)","—","—",12527,
