"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Log(OR)",5,"H0",3,"CMUE-ZERO","-0.04506 (0.002255)","0.3302 (0.001962)","0.9553 (0.001424)","1.182 (0.0009948)",21051,21051
"Log(OR)",5,"H0",3,"RB","-0.004643 (0.002265)","0.3286 (0.002135)","0.9668 (0.001235)","1.279 (0.001254)",21048,21045
"Log(OR)",5,"H0",4,"Stage 2","-0.003078 (0.003497)","0.5046 (0.002455)","0.9446 (0.001585)","1.936 (0.0001602)",20824,20824
"Log(OR)",5,"H0",4,"Naive","0.1016 (0.001542)","0.2446 (0.001280)","0.9476 (0.001545)","1.046 (0.0007720)",20824,20824
"Log(OR)",5,"H0",4,"CBAE-SI","-0.005611 (0.001809)","0.2611 (0.001527)","—","—",20823,
"Log(OR)",5,"H0",4,"CBAE-MI","-0.05561 (0.002049)","0.2973 (0.001826)","—","—",20315,
"Log(OR)",5,"H0",4,"CMUE-MLE","-0.05882 (0.002223)","0.3262 (0.001988)","0.9568 (0.001409)","1.182 (0.0009721)",20824,20824
"Log(OR)",5,"H0",4,"CMUE-ZERO","-0.04779 (0.002282)","0.3328 (0.001986)","0.9536 (0.001458)","1.181 (0.001009)",20824,20824
"Log(OR)",5,"H0",4,"RB","-0.007333 (0.002302)","0.3323 (0.002250)","0.9660 (0.001255)","1.280 (0.001280)",20824,20822
"Log(OR)",5,"H1",1,"Stage 2","0.003718 (0.003028)","0.4793 (0.002156)","0.9552 (0.001306)","1.906 (0.00003702)",25060,25060
"Log(OR)",5,"H1",1,"Naive","0.1325 (0.001700)","0.3000 (0.001617)","0.9275 (0.001638)","1.020 (0.0006729)",25060,25060
"Log(OR)",5,"H1",1,"CBAE-SI","0.0007072 (0.001708)","0.2704 (0.001441)","—","—",25060,
"Log(OR)",5,"H1",1,"CBAE-MI","-0.04729 (0.001723)","0.2742 (0.001406)","—","—",24586,
"Log(OR)",5,"H1",1,"CMUE-MLE","-0.03608 (0.001290)","0.2073 (0.001073)","0.9716 (0.001050)","0.7652 (0.001284)",25060,25060
"Log(OR)",5,"H1",1,"CMUE-ZERO","0.01980 (0.001191)","0.1896 (0.0009629)","0.9452 (0.001438)","0.6457 (0.001462)",25060,25060
"Log(OR)",5,"H1",1,"RB","-0.02060 (0.001873)","0.2972 (0.001437)","0.9651 (0.001160)","1.190 (0.0008301)",25057,25054
"Log(OR)",5,"H1",2,"Stage 2","0.001775 (0.003069)","0.4848 (0.002118)","0.9524 (0.001348)","1.906 (0.00003912)",24961,24961
"Log(OR)",5,"H1",2,"Naive","0.1340 (0.001707)","0.3011 (0.001635)","0.9277 (0.001639)","1.021 (0.0006721)",24961,24961
"Log(OR)",5,"H1",2,"CBAE-SI","0.001754 (0.001717)","0.2712 (0.001471)","—","—",24961,
"Log(OR)",5,"H1",2,"CBAE-MI","-0.04596 (0.001732)","0.2746 (0.001417)","—","—",24454,
"Log(OR)",5,"H1",2,"CMUE-MLE","-0.03498 (0.001295)","0.2076 (0.001159)","0.9694 (0.001091)","0.7639 (0.001291)",24961,24961
"Log(OR)",5,"H1",2,"CMUE-ZERO","0.02133 (0.001196)","0.1902 (0.001055)","0.9446 (0.001448)","0.6438 (0.001464)",24961,24961
"Log(OR)",5,"H1",2,"RB","-0.01881 (0.001884)","0.2982 (0.001487)","0.9637 (0.001185)","1.191 (0.0008252)",24958,24952
"Log(OR)",5,"H1",3,"Stage 2","0.0004549 (0.003062)","0.4837 (0.002125)","0.9517 (0.001357)","1.906 (0.00003824)",24959,24959
"Log(OR)",5,"H1",3,"Naive","0.1328 (0.001707)","0.3007 (0.001628)","0.9285 (0.001631)","1.020 (0.0006775)",24959,24959
"Log(OR)",5,"H1",3,"CBAE-SI","0.001241 (0.001714)","0.2708 (0.001452)","—","—",24959,
"Log(OR)",5,"H1",3,"CBAE-MI","-0.04704 (0.001725)","0.2743 (0.001403)","—","—",24548,
"Log(OR)",5,"H1",3,"CMUE-MLE","-0.03586 (0.001288)","0.2066 (0.001090)","0.9708 (0.001067)","0.7645 (0.001289)",24959,24959
"Log(OR)",5,"H1",3,"CMUE-ZERO","0.01994 (0.001191)","0.1891 (0.001001)","0.9447 (0.001447)","0.6450 (0.001468)",24959,24959
"Log(OR)",5,"H1",3,"RB","-0.01979 (0.001880)","0.2977 (0.001450)","0.9647 (0.001169)","1.190 (0.0008281)",24957,24954
"Log(OR)",5,"H1",4,"Stage 2","-0.004314 (0.003049)","0.4811 (0.002156)","0.9538 (0.001330)","1.906 (0.00003796)",24893,24893
"Log(OR)",5,"H1",4,"Naive","0.1337 (0.001704)","0.3002 (0.001618)","0.9281 (0.001637)","1.021 (0.0006741)",24893,24893
"Log(OR)",5,"H1",4,"CBAE-SI","0.001149 (0.001712)","0.2701 (0.001448)","—","—",24893,
"Log(OR)",5,"H1",4,"CBAE-MI","-0.04736 (0.001728)","0.2741 (0.001415)","—","—",24412,
"Log(OR)",5,"H1",4,"CMUE-MLE","-0.03532 (0.001291)","0.2068 (0.001136)","0.9715 (0.001055)","0.7650 (0.001285)",24893,24893
"Log(OR)",5,"H1",4,"CMUE-ZERO","0.02112 (0.001193)","0.1895 (0.001047)","0.9437 (0.001461)","0.6442 (0.001467)",24893,24893
"Log(OR)",5,"H1",4,"RB","-0.01971 (0.001876)","0.2966 (0.001462)","0.9645 (0.001173)","1.191 (0.0008322)",24890,24886
"Log(OR)",5,"Peak",1,"Stage 2","0.008458 (0.004339)","0.4927 (0.003048)","0.9481 (0.001954)","1.910 (0.00008256)",12892,12892
"Log(OR)",5,"Peak",1,"Naive","0.1162 (0.002417)","0.2980 (0.002135)","0.9105 (0.002514)","0.9351 (0.0007812)",12892,12892
"Log(OR)",5,"Peak",1,"CBAE-SI","0.001152 (0.002365)","0.2686 (0.001975)","—","—",12892,
"Log(OR)",5,"Peak",1,"CBAE-MI","-0.04009 (0.002479)","0.2811 (0.002046)","—","—",12589,
"Log(OR)",5,"Peak",1,"CMUE-MLE","0.002972 (0.002459)","0.2792 (0.002064)","0.9659 (0.001597)","0.9761 (0.001302)",12892,12892
"Log(OR)",5,"Peak",1,"CMUE-ZERO","0.05382 (0.002515)","0.2905 (0.002016)","0.9410 (0.002076)","0.9337 (0.001571)",12892,12892
"Log(OR)",5,"Peak",1,"RB","-0.0003815 (0.002456)","0.2788 (0.002528)","0.9587 (0.001752)","1.107 (0.0009997)",12891,12887
"Log(OR)",5,"Peak",2,"Stage 2","0.007563 (0.004282)","0.4911 (0.003007)","0.9508 (0.001886)","1.910 (0.00008118)",13153,13153
"Log(OR)",5,"Peak",2,"Naive","0.1112 (0.002372)","0.2939 (0.002040)","0.9104 (0.002490)","0.9354 (0.0007708)",13153,13153
"Log(OR)",5,"Peak",2,"CBAE-SI","-0.003326 (0.002326)","0.2668 (0.001872)","—","—",13153,
"Log(OR)",5,"Peak",2,"CBAE-MI","-0.04421 (0.002438)","0.2801 (0.002009)","—","—",12873,
"Log(OR)",5,"Peak",2,"CMUE-MLE","-0.002109 (0.002445)","0.2804 (0.002055)","0.9646 (0.001610)","0.9788 (0.001273)",13153,13153
"Log(OR)",5,"Peak",2,"CMUE-ZERO","0.04864 (0.002498)","0.2906 (0.002009)","0.9418 (0.002042)","0.9373 (0.001535)",13153,13153
"Log(OR)",5,"Peak",2,"RB","-0.005547 (0.002430)","0.2788 (0.002428)","0.9579 (0.001751)","1.108 (0.0009888)",13152,13148
"Log(OR)",5,"Peak",3,"Stage 2","0.001080 (0.004298)","0.4907 (0.002967)","0.9473 (0.001957)","1.910 (0.00008123)",13036,13036
"Log(OR)",5,"Peak",3,"Naive","0.1102 (0.002379)","0.2931 (0.002021)","0.9158 (0.002431)","0.9348 (0.0007643)",13036,13036
"Log(OR)",5,"Peak",3,"CBAE-SI","-0.004590 (0.002339)","0.2670 (0.001881)","—","—",13036,
"Log(OR)",5,"Peak",3,"CBAE-MI","-0.04536 (0.002461)","0.2813 (0.002008)","—","—",12732,
"Log(OR)",5,"Peak",3,"CMUE-MLE","-0.003376 (0.002455)","0.2803 (0.002042)","0.9664 (0.001578)","0.9798 (0.001272)",13036,13036
"Log(OR)",5,"Peak",3,"CMUE-ZERO","0.04766 (0.002507)","0.2902 (0.001998)","0.9458 (0.001982)","0.9386 (0.001530)",13036,13036
"Log(OR)",5,"Peak",3,"RB","-0.006737 (0.002437)","0.2783 (0.002354)","0.9590 (0.001737)","1.108 (0.0009878)",13033,13030
"Log(OR)",5,"Peak",4,"Stage 2","-0.0005753 (0.001965)","0.4811 (0.001380)","0.9527 (0.0008668)","1.905 (0.00002216)",59924,59924
"Log(OR)",5,"Peak",4,"Naive","0.08068 (0.001066)","0.2731 (0.0009587)","0.9419 (0.0009557)","1.002 (0.0004179)",59924,59924
"Log(OR)",5,"Peak",4,"CBAE-SI","-0.01593 (0.001067)","0.2616 (0.0008955)","—","—",59924,
"Log(OR)",5,"Peak",4,"CBAE-MI","-0.04320 (0.001072)","0.2657 (0.0009035)","—","—",59770,
"Log(OR)",5,"Peak",4,"CMUE-MLE","-0.04497 (0.0008467)","0.2121 (0.0007958)","0.9656 (0.0007443)","0.7518 (0.0008173)",59924,59924
"Log(OR)",5,"Peak",4,"CMUE-ZERO","-0.01513 (0.0008260)","0.2028 (0.0007842)","0.9537 (0.0008580)","0.6894 (0.0008950)",59924,59924
"Log(OR)",5,"Peak",4,"RB","-0.01530 (0.001145)","0.2807 (0.0009086)","0.9722 (0.0006716)","1.125 (0.0004217)",59924,59922
"Log(OR)",5,"Line",1,"Stage 2","0.003549 (0.007496)","0.4962 (0.005461)","0.9434 (0.003491)","1.917 (0.0002077)",4382,4382
"Log(OR)",5,"Line",1,"Naive","0.1341 (0.003791)","0.2845 (0.003958)","0.8902 (0.004722)","0.9537 (0.001424)",4382,4382
"Log(OR)",5,"Line",1,"CBAE-SI","0.009744 (0.003809)","0.2523 (0.003579)","—","—",4382,
"Log(OR)",5,"Line",1,"CBAE-MI","-0.04083 (0.004244)","0.2753 (0.003795)","—","—",4117,
"Log(OR)",5,"Line",1,"CMUE-MLE","-0.00008113 (0.004345)","0.2876 (0.003784)","0.9644 (0.002799)","1.070 (0.002150)",4382,4382
"Log(OR)",5,"Line",1,"CMUE-ZERO","0.05896 (0.004444)","0.3000 (0.003815)","0.9391 (0.003614)","1.044 (0.002491)",4382,4382
"Log(OR)",5,"Line",1,"RB","0.006682 (0.004371)","0.2893 (0.004189)","0.9666 (0.002714)","1.149 (0.002074)",4380,4377
"Log(OR)",5,"Line",2,"Stage 2","0.008835 (0.004511)","0.4900 (0.003148)","0.9508 (0.001991)","1.910 (0.00008519)",11793,11793
"Log(OR)",5,"Line",2,"Naive","0.1175 (0.002498)","0.2956 (0.002126)","0.9073 (0.002670)","0.9354 (0.0008071)",11793,11793
"Log(OR)",5,"Line",2,"CBAE-SI","0.002120 (0.002446)","0.2656 (0.001970)","—","—",11793,
"Log(OR)",5,"Line",2,"CBAE-MI","-0.04111 (0.002571)","0.2791 (0.002093)","—","—",11531,
"Log(OR)",5,"Line",2,"CMUE-MLE","0.004600 (0.002562)","0.2783 (0.002144)","0.9670 (0.001645)","0.9758 (0.001328)",11793,11793
"Log(OR)",5,"Line",2,"CMUE-ZERO","0.05606 (0.002621)","0.2901 (0.002101)","0.9410 (0.002170)","0.9333 (0.001609)",11793,11793
"Log(OR)",5,"Line",2,"RB","-0.001782 (0.002543)","0.2762 (0.002593)","0.9598 (0.001810)","1.108 (0.001026)",11792,11787
"Log(OR)",5,"Line",3,"Stage 2","0.004343 (0.002951)","0.4862 (0.002046)","0.9466 (0.001364)","1.906 (0.00003592)",27158,27158
"Log(OR)",5,"Line",3,"Naive","0.1054 (0.001653)","0.2920 (0.001384)","0.9443 (0.001391)","0.9552 (0.0005776)",27158,27158
"Log(OR)",5,"Line",3,"CBAE-SI","-0.002728 (0.001622)","0.2673 (0.001316)","—","—",27158,
"Log(OR)",5,"Line",3,"CBAE-MI","-0.04021 (0.001648)","0.2736 (0.001375)","—","—",26960,
"Log(OR)",5,"Line",3,"CMUE-MLE","-0.005709 (0.001536)","0.2533 (0.001264)","0.9658 (0.001103)","0.8755 (0.001010)",27158,27158
"Log(OR)",5,"Line",3,"CMUE-ZERO","0.03731 (0.001548)","0.2578 (0.001202)","0.9517 (0.001301)","0.8175 (0.001186)",27158,27158
"Log(OR)",5,"Line",3,"RB","-0.01290 (0.001675)","0.2763 (0.001507)","0.9660 (0.001100)","1.109 (0.0006516)",27158,27155
"Log(OR)",5,"Line",4,"Stage 2","-0.001115 (0.002032)","0.4799 (0.001427)","0.9536 (0.0008908)","1.905 (0.00002315)",55813,55813
"Log(OR)",5,"Line",4,"Naive","0.08483 (0.001105)","0.2745 (0.001001)","0.9413 (0.0009948)","1.003 (0.0004338)",55813,55813
"Log(OR)",5,"Line",4,"CBAE-SI","-0.01305 (0.001106)","0.2616 (0.0009338)","—","—",55813,
"Log(OR)",5,"Line",4,"CBAE-MI","-0.04276 (0.001114)","0.2662 (0.0009379)","—","—",55678,
"Log(OR)",5,"Line",4,"CMUE-MLE","-0.04265 (0.0008723)","0.2104 (0.0008172)","0.9665 (0.0007617)","0.7501 (0.0008474)",55813,55813
"Log(OR)",5,"Line",4,"CMUE-ZERO","-0.01194 (0.0008493)","0.2010 (0.0008035)","0.9542 (0.0008853)","0.6859 (0.0009294)",55813,55813
"Log(OR)",5,"Line",4,"RB","-0.01564 (0.001189)","0.2813 (0.0009467)","0.9721 (0.0006969)","1.130 (0.0004477)",55813,55811
"Survival",3,"H0",1,"Stage 2","-0.002290 (0.0008002)","0.1137 (0.0005631)","0.9525 (0.001496)","0.4480 (0.000007337)",20199,20199
"Survival",3,"H0",1,"Naive","-0.03967 (0.0004253)","0.07230 (0.0003740)","0.9309 (0.001785)","0.2603 (0.00001995)",20199,20199
"Survival",3,"H0",1,"CBAE-SI","-0.004062 (0.0004832)","0.06879 (0.0003596)","—","—",20199,
"Survival",3,"H0",1,"CBAE-MI","0.01121 (0.0005185)","0.07453 (0.0003884)","—","—",20194,
"Survival",3,"H0",1,"CMUE-MLE","-0.005964 (0.0004735)","0.06756 (0.0004234)","0.9739 (0.001122)","0.3508 (0.0009212)",20199,20199
"Survival",3,"H0",1,"CMUE-ZERO","-0.009209 (0.0004924)","0.07058 (0.0004351)","0.9642 (0.001308)","0.3584 (0.0009579)",20199,20199
"Survival",3,"H0",1,"RB","-0.0001457 (0.0005285)","0.07511 (0.0003867)","0.9517 (0.001508)","0.2965 (0.00007101)",20198,20198
"Survival",3,"H0",2,"Stage 2","-0.001657 (0.0008073)","0.1139 (0.0005705)","0.9523 (0.001511)","0.4480 (0.000007473)",19889,19889
"Survival",3,"H0",2,"Naive","-0.03912 (0.0004308)","0.07226 (0.0003715)","0.9302 (0.001807)","0.2602 (0.00001904)",19889,19889
"Survival",3,"H0",2,"CBAE-SI","-0.003411 (0.0004900)","0.06918 (0.0003594)","—","—",19889,
"Survival",3,"H0",2,"CBAE-MI","0.01186 (0.0005260)","0.07511 (0.0003887)","—","—",19882,
"Survival",3,"H0",2,"CMUE-MLE","-0.005527 (0.0004803)","0.06796 (0.0004265)","0.9737 (0.001136)","0.3527 (0.0009408)",19889,19889
"Survival",3,"H0",2,"CMUE-ZERO","-0.008716 (0.0004992)","0.07094 (0.0004371)","0.9672 (0.001264)","0.3602 (0.0009837)",19889,19889
"Survival",3,"H0",2,"RB","0.0004830 (0.0005372)","0.07575 (0.0003864)","0.9525 (0.001509)","0.2965 (0.00007199)",19889,19888
"Survival",3,"H0",3,"Stage 2","-0.00008984 (0.0008129)","0.1149 (0.0005699)","0.9486 (0.001562)","0.4479 (0.000007334)",19975,19975
"Survival",3,"H0",3,"Naive","-0.03906 (0.0004287)","0.07209 (0.0003769)","0.9308 (0.001796)","0.2602 (0.00002061)",19975,19975
"Survival",3,"H0",3,"CBAE-SI","-0.003237 (0.0004878)","0.06902 (0.0003603)","—","—",19975,
"Survival",3,"H0",3,"CBAE-MI","0.01223 (0.0005248)","0.07515 (0.0003870)","—","—",19964,
"Survival",3,"H0",3,"CMUE-MLE","-0.005467 (0.0004772)","0.06767 (0.0004257)","0.9728 (0.001152)","0.3508 (0.0009237)",19975,19975
"Survival",3,"H0",3,"CMUE-ZERO","-0.008749 (0.0004956)","0.07059 (0.0004369)","0.9666 (0.001272)","0.3595 (0.0009735)",19975,19975
"Survival",3,"H0",3,"RB","0.0009236 (0.0005360)","0.07576 (0.0003890)","0.9507 (0.001532)","0.2966 (0.00007445)",19974,19973
"Survival",3,"H0",4,"Stage 2","-0.0003766 (0.0008056)","0.1137 (0.0005663)","0.9507 (0.001534)","0.4480 (0.000007299)",19920,19920
"Survival",3,"H0",4,"Naive","-0.03913 (0.0004272)","0.07187 (0.0003750)","0.9313 (0.001792)","0.2603 (0.00001995)",19920,19920
"Survival",3,"H0",4,"CBAE-SI","-0.003462 (0.0004853)","0.06858 (0.0003591)","—","—",19920,
"Survival",3,"H0",4,"CBAE-MI","0.01183 (0.0005210)","0.07446 (0.0003866)","—","—",19915,
"Survival",3,"H0",4,"CMUE-MLE","-0.005730 (0.0004745)","0.06721 (0.0004251)","0.9735 (0.001137)","0.3509 (0.0009227)",19920,19920
"Survival",3,"H0",4,"CMUE-ZERO","-0.008950 (0.0004935)","0.07023 (0.0004388)","0.9662 (0.001281)","0.3591 (0.0009703)",19920,19920
"Survival",3,"H0",4,"RB","0.0004460 (0.0005321)","0.07509 (0.0003874)","0.9511 (0.001528)","0.2966 (0.00007318)",19920,19919
"Survival",3,"H1",1,"Stage 2","-0.002783 (0.0007179)","0.1136 (0.0005108)","0.9528 (0.001341)","0.4494 (0.00001731)",25005,25005
"Survival",3,"H1",1,"Naive","-0.04704 (0.0004665)","0.08749 (0.0003642)","0.9311 (0.001601)","0.2884 (0.0001848)",25005,25005
"Survival",3,"H1",1,"CBAE-SI","-0.01158 (0.0004985)","0.07966 (0.0003443)","—","—",25005,
"Survival",3,"H1",1,"CBAE-MI","0.01223 (0.0005226)","0.08353 (0.0003667)","—","—",24994,
"Survival",3,"H1",1,"CMUE-MLE","-0.007359 (0.0004871)","0.07738 (0.0003508)","0.9728 (0.001029)","0.3526 (0.0002875)",25005,25005
"Survival",3,"H1",1,"CMUE-ZERO","-0.03911 (0.0004949)","0.08748 (0.0003730)","0.9335 (0.001576)","0.3129 (0.0002251)",25005,25005
"Survival",3,"H1",1,"RB","0.001541 (0.0005632)","0.08906 (0.0003553)","0.9505 (0.001372)","0.3524 (0.0002449)",25005,25005
"Survival",3,"H1",2,"Stage 2","-0.001764 (0.0007212)","0.1141 (0.0005149)","0.9526 (0.001343)","0.4494 (0.00001740)",25022,25022
"Survival",3,"H1",2,"Naive","-0.04676 (0.0004701)","0.08784 (0.0003751)","0.9295 (0.001618)","0.2882 (0.0001849)",25022,25022
"Survival",3,"H1",2,"CBAE-SI","-0.01129 (0.0005030)","0.08036 (0.0003517)","—","—",25022,
"Survival",3,"H1",2,"CBAE-MI","0.01235 (0.0005281)","0.08440 (0.0003692)","—","—",24998,
"Survival",3,"H1",2,"CMUE-MLE","-0.007235 (0.0004918)","0.07813 (0.0003572)","0.9709 (0.001063)","0.3522 (0.0002887)",25022,25022
"Survival",3,"H1",2,"CMUE-ZERO","-0.03888 (0.0004982)","0.08787 (0.0003819)","0.9322 (0.001590)","0.3127 (0.0002241)",25022,25022
"Survival",3,"H1",2,"RB","0.001653 (0.0005685)","0.08994 (0.0003595)","0.9502 (0.001376)","0.3519 (0.0002431)",25022,25022
"Survival",3,"H1",3,"Stage 2","-0.001385 (0.0007259)","0.1148 (0.0005084)","0.9510 (0.001366)","0.4494 (0.00001758)",25005,25005
"Survival",3,"H1",3,"Naive","-0.04650 (0.0004681)","0.08741 (0.0003671)","0.9308 (0.001605)","0.2880 (0.0001848)",25005,25005
"Survival",3,"H1",3,"CBAE-SI","-0.01093 (0.0005013)","0.08001 (0.0003470)","—","—",25005,
"Survival",3,"H1",3,"CBAE-MI","0.01290 (0.0005274)","0.08435 (0.0003667)","—","—",24985,
"Survival",3,"H1",3,"CMUE-MLE","-0.006608 (0.0004901)","0.07778 (0.0003537)","0.9706 (0.001068)","0.3522 (0.0002875)",25005,25005
"Survival",3,"H1",3,"CMUE-ZERO","-0.03845 (0.0004961)","0.08736 (0.0003757)","0.9337 (0.001573)","0.3126 (0.0002230)",25005,25005
"Survival",3,"H1",3,"RB","0.002567 (0.0005680)","0.08985 (0.0003579)","0.9479 (0.001406)","0.3522 (0.0002449)",25005,25005
"Survival",3,"H1",4,"Stage 2","-0.0008393 (0.0007224)","0.1140 (0.0005165)","0.9502 (0.001378)","0.4494 (0.00001739)",24899,24899
"Survival",3,"H1",4,"Naive","-0.04659 (0.0004667)","0.08713 (0.0003734)","0.9317 (0.001599)","0.2880 (0.0001853)",24899,24899
"Survival",3,"H1",4,"CBAE-SI","-0.01103 (0.0004994)","0.07957 (0.0003504)","—","—",24899,
"Survival",3,"H1",4,"CBAE-MI","0.01277 (0.0005248)","0.08376 (0.0003671)","—","—",24878,
"Survival",3,"H1",4,"CMUE-MLE","-0.006806 (0.0004881)","0.07731 (0.0003562)","0.9707 (0.001068)","0.3522 (0.0002881)",24899,24899
"Survival",3,"H1",4,"CMUE-ZERO","-0.03859 (0.0004944)","0.08704 (0.0003816)","0.9349 (0.001563)","0.3131 (0.0002301)",24899,24899
"Survival",3,"H1",4,"RB","0.002318 (0.0005659)","0.08932 (0.0003599)","0.9489 (0.001395)","0.3522 (0.0002445)",24897,24897
"Survival",3,"Peak",1,"Stage 2","-0.001260 (0.001055)","0.1130 (0.0007399)","0.9541 (0.001953)","0.4481 (0.00001755)",11479,11479
"Survival",3,"Peak",1,"Naive","-0.04342 (0.0006632)","0.08327 (0.0006267)","0.8872 (0.002953)","0.2643 (0.0001553)",11479,11479
"Survival",3,"Peak",1,"CBAE-SI","-0.006879 (0.0006869)","0.07391 (0.0005518)","—","—",11479,
"Survival",3,"Peak",1,"CBAE-MI","0.01453 (0.0007261)","0.07911 (0.0005294)","—","—",11472,
"Survival",3,"Peak",1,"CMUE-MLE","-0.006981 (0.0006954)","0.07483 (0.0005290)","0.9756 (0.001440)","0.3105 (0.0003380)",11479,11479
"Survival",3,"Peak",1,"CMUE-ZERO","-0.02748 (0.0007363)","0.08353 (0.0006102)","0.9382 (0.002247)","0.2976 (0.0003565)",11479,11479
"Survival",3,"Peak",1,"RB","0.001903 (0.0007288)","0.07810 (0.0005825)","0.9517 (0.002000)","0.3135 (0.0002881)",11479,11479
"Survival",3,"Peak",2,"Stage 2","-0.002368 (0.001080)","0.1144 (0.0007592)","0.9496 (0.002065)","0.4482 (0.00001805)",11216,11216
"Survival",3,"Peak",2,"Naive","-0.04413 (0.0006847)","0.08488 (0.0006566)","0.8814 (0.003053)","0.2646 (0.0001613)",11216,11216
"Survival",3,"Peak",2,"CBAE-SI","-0.007749 (0.0007116)","0.07576 (0.0005859)","—","—",11216,
"Survival",3,"Peak",2,"CBAE-MI","0.01344 (0.0007522)","0.08074 (0.0005613)","—","—",11202,
"Survival",3,"Peak",2,"CMUE-MLE","-0.008041 (0.0007200)","0.07667 (0.0005634)","0.9721 (0.001555)","0.3114 (0.0003851)",11216,11216
"Survival",3,"Peak",2,"CMUE-ZERO","-0.02830 (0.0007594)","0.08526 (0.0006426)","0.9334 (0.002354)","0.2980 (0.0003860)",11216,11216
"Survival",3,"Peak",2,"RB","0.0007513 (0.0007573)","0.08020 (0.0006196)","0.9428 (0.002192)","0.3134 (0.0002891)",11215,11215
"Survival",3,"Peak",3,"Stage 2","-0.001350 (0.001091)","0.1152 (0.0007725)","0.9488 (0.002087)","0.4481 (0.00001812)",11152,11152
"Survival",3,"Peak",3,"Naive","-0.04382 (0.0006814)","0.08424 (0.0006408)","0.8813 (0.003063)","0.2645 (0.0001606)",11152,11152
"Survival",3,"Peak",3,"CBAE-SI","-0.007293 (0.0007096)","0.07529 (0.0005706)","—","—",11152,
"Survival",3,"Peak",3,"CBAE-MI","0.01399 (0.0007534)","0.08075 (0.0005486)","—","—",11143,
"Survival",3,"Peak",3,"CMUE-MLE","-0.007504 (0.0007182)","0.07621 (0.0005491)","0.9735 (0.001520)","0.3110 (0.0003640)",11152,11152
"Survival",3,"Peak",3,"CMUE-ZERO","-0.02790 (0.0007557)","0.08454 (0.0006244)","0.9335 (0.002360)","0.2979 (0.0003701)",11152,11152
"Survival",3,"Peak",3,"RB","0.001182 (0.0007577)","0.08001 (0.0006082)","0.9428 (0.002200)","0.3133 (0.0002838)",11149,11149
"Survival",3,"Peak",4,"Stage 2","-0.001726 (0.0004477)","0.1145 (0.0003196)","0.9500 (0.0008522)","0.4497 (0.000009778)",65395,65395
"Survival",3,"Peak",4,"Naive","-0.02561 (0.0002887)","0.07814 (0.0002134)","0.9523 (0.0008335)","0.2822 (0.0001131)",65395,65395
"Survival",3,"Peak",4,"CBAE-SI","-0.0007031 (0.0003031)","0.07751 (0.0002092)","—","—",65395,
"Survival",3,"Peak",4,"CBAE-MI","0.01042 (0.0003126)","0.08062 (0.0002192)","—","—",65395,
"Survival",3,"Peak",4,"CMUE-MLE","-0.001198 (0.0002994)","0.07657 (0.0002168)","0.9644 (0.0007243)","0.3307 (0.0001809)",65395,65395
"Survival",3,"Peak",4,"CMUE-ZERO","-0.01595 (0.0003047)","0.07953 (0.0002221)","0.9504 (0.0008492)","0.3106 (0.0001520)",65395,65395
"Survival",3,"Peak",4,"RB","0.0008688 (0.0003199)","0.08181 (0.0002184)","0.9511 (0.0008435)","0.3217 (0.0001260)",65395,65395
"Survival",3,"Line",1,"Stage 2","0.0006445 (0.002107)","0.1129 (0.001455)","0.9561 (0.003826)","0.4476 (0.00003049)",2869,2869
"Survival",3,"Line",1,"Naive","-0.05266 (0.001227)","0.08421 (0.001230)","0.8940 (0.005746)","0.2603 (0.0001812)",2869,2869
"Survival",3,"Line",1,"CBAE-SI","-0.01083 (0.001283)","0.06958 (0.001105)","—","—",2869,
"Survival",3,"Line",1,"CBAE-MI","0.01431 (0.001380)","0.07514 (0.001059)","—","—",2856,
"Survival",3,"Line",1,"CMUE-MLE","-0.01021 (0.001280)","0.06932 (0.001054)","0.9808 (0.002560)","0.3159 (0.001214)",2869,2869
"Survival",3,"Line",1,"CMUE-ZERO","-0.03102 (0.001388)","0.08053 (0.001238)","0.9387 (0.004480)","0.3057 (0.001224)",2869,2869
"Survival",3,"Line",1,"RB","0.002017 (0.001415)","0.07580 (0.001134)","0.9613 (0.003602)","0.3076 (0.0004305)",2868,2868
"Survival",3,"Line",2,"Stage 2","-0.002967 (0.001152)","0.1145 (0.0008083)","0.9514 (0.002166)","0.4481 (0.00001961)",9868,9868
"Survival",3,"Line",2,"Naive","-0.04636 (0.0007367)","0.08663 (0.0007072)","0.8735 (0.003346)","0.2650 (0.0001767)",9868,9868
"Survival",3,"Line",2,"CBAE-SI","-0.009453 (0.0007642)","0.07649 (0.0006328)","—","—",9868,
"Survival",3,"Line",2,"CBAE-MI","0.01282 (0.0008074)","0.08119 (0.0006001)","—","—",9860,
"Survival",3,"Line",2,"CMUE-MLE","-0.009765 (0.0007710)","0.07721 (0.0006077)","0.9701 (0.001714)","0.3113 (0.0003913)",9868,9868
"Survival",3,"Line",2,"CMUE-ZERO","-0.03073 (0.0008157)","0.08666 (0.0006942)","0.9269 (0.002620)","0.2977 (0.0003822)",9868,9868
"Survival",3,"Line",2,"RB","0.0005466 (0.0008130)","0.08075 (0.0006662)","0.9430 (0.002333)","0.3155 (0.0003173)",9867,9867
"Survival",3,"Line",3,"Stage 2","-0.001355 (0.0006989)","0.1144 (0.0004935)","0.9505 (0.001325)","0.4488 (0.00001350)",26788,26788
